Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
,00:00:00,75,34.2,01:45,,1380,,4.70,29.0,,
,00:00:01,75,34.2,01:45,,1380,,4.70,29.0,,
,00:00:02,74,33.6,01:47,,1380,,4.80,29.1,,
,00:00:03,75,32.4,01:51,,1380,,5.00,29.2,,
,00:00:04,76,30.7,01:57,,1380,,9.00,29.0,,
,00:00:05,76,28.9,02:05,,1380,,13.70,29.1,,
,00:00:06,76,27.4,02:11,,1380,,18.80,29.1,,
,00:00:07,76,26.7,02:15,,1380,,24.60,29.1,,
,00:00:08,76,26.4,02:16,,1380,,33.00,29.2,,
,00:00:09,76,26.7,02:15,,1376,,42.40,29.1,,
,00:00:10,76,27.2,02:12,,1376,,52.20,29.0,,
,00:00:11,75,27.5,02:11,,1376,,62.70,29.1,,
,00:00:12,75,27.5,02:11,,1376,,73.50,29.1,,
,00:00:13,75,27.0,02:14,,1376,,81.40,29.1,,
,00:00:14,74,26.0,02:19,,1376,,89.20,29.1,,
,00:00:15,74,24.5,02:27,,1376,,96.30,29.2,,
,00:00:16,74,21.5,02:48,,1376,,102.30,29.2,,
,00:00:17,74,19.9,03:01,,1376,,106.10,29.1,,
,00:00:18,74,20.2,02:58,,1376,,109.50,29.2,,
,00:00:19,74,21.6,02:47,,1376,,113.30,29.2,,
,00:00:20,74,22.8,02:38,,1376,,118.20,29.2,,
,00:00:21,74,24.7,02:26,,1376,,123.70,29.2,,
,00:00:22,74,26.8,02:14,,1376,,130.00,29.2,,
,00:00:23,74,28.9,02:05,,1376,,137.50,29.2,,
,00:00:24,74,30.7,01:57,,1376,,147.50,29.1,,
,00:00:25,74,32.3,01:51,,1376,,159.60,29.2,,
,00:00:26,74,33.5,01:47,,1376,,170.50,29.2,,
,00:00:27,74,34.4,01:45,,1376,,183.10,29.2,,
,00:00:28,74,34.9,01:43,,1376,,195.10,29.2,,
,00:00:29,73,35.0,01:43,,1376,,206.70,29.2,,
,00:00:30,73,34.8,01:43,,1376,,217.90,29.2,,
