Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
,00:00:00,82,13.3,04:30,,1364,,8.10,29.9,,
,00:00:01,82,15.0,03:59,,1364,,12.70,29.9,,
,00:00:02,82,17.3,03:28,,1364,,18.70,29.9,,
,00:00:03,83,20.2,02:58,,1364,,26.00,29.9,,
,00:00:04,83,22.8,02:38,,1365,,34.90,30.0,,
,00:00:05,83,24.7,02:26,,1365,,44.90,29.9,,
,00:00:06,84,25.5,02:21,,1365,,55.60,29.9,,
,00:00:07,84,25.6,02:21,,1365,,66.40,29.9,,
,00:00:08,84,24.6,02:26,,1365,,75.00,29.9,,
,00:00:09,84,23.9,02:31,,1365,,83.30,29.9,,
,00:00:10,84,23.1,02:36,,1365,,90.60,30.0,,
,00:00:11,84,22.8,02:38,,1365,,97.80,30.1,,
,00:00:12,84,23.4,02:34,,1365,,104.80,30.0,,
,00:00:13,84,24.6,02:27,,1365,,111.60,30.1,,
,00:00:14,84,26.6,02:15,,1366,,119.10,30.1,,
,00:00:15,84,29.3,02:03,,1366,,127.90,30.0,,
,00:00:16,84,32.7,01:50,,1366,,138.50,30.1,,
,00:00:17,85,36.2,01:40,,1366,,151.00,30.1,,
,00:00:18,84,39.5,01:31,,1366,,165.20,30.0,,
,00:00:19,85,42.3,01:25,,1366,,180.70,30.0,,
,00:00:20,85,44.5,01:21,,1366,,197.00,30.0,,
,00:00:21,84,46.2,01:18,,1366,,213.70,30.1,,
,00:00:22,84,47.3,01:16,,1367,,230.60,30.1,,
,00:00:23,83,47.9,01:15,,1367,,247.10,30.0,,
,00:00:24,83,48.1,01:15,,1367,,262.70,30.0,,
,00:00:25,83,47.8,01:15,,1367,,277.00,30.0,,
,00:00:26,83,47.0,01:17,,1367,,290.50,30.1,,
,00:00:27,83,45.7,01:19,,1367,,302.70,30.1,,
,00:00:28,83,44.1,01:22,,1367,,313.90,30.1,,
,00:00:29,83,42.0,01:26,,1367,,324.10,30.1,,
,00:00:30,84,39.6,01:31,,1367,,333.10,30.1,,
,00:00:31,84,37.1,01:37,,1367,,340.90,30.1,,
,00:00:32,83,34.3,01:45,,1367,,347.30,30.2,,
,00:00:33,83,32.1,01:52,,1367,,352.10,30.1,,
,00:00:34,83,30.5,01:58,,1367,,356.10,30.1,,
,00:00:35,83,29.8,02:01,,1367,,359.90,30.0,,
,00:00:36,83,29.9,02:00,,1367,,365.20,30.1,,
,00:00:37,83,30.7,01:57,,1367,,371.10,30.1,,
,00:00:38,83,31.5,01:54,,1363,,377.90,30.1,,
,00:00:39,84,32.1,01:52,,1363,,385.00,30.1,,
,00:00:40,84,32.0,01:52,,1363,,393.40,30.2,,
,00:00:41,84,31.3,01:55,,1363,,403.20,30.1,,
,00:00:42,84,30.1,02:00,,1363,,412.60,30.1,,
,00:00:43,84,28.8,02:05,,1363,,420.70,30.1,,
,00:00:44,85,27.8,02:10,,1363,,426.30,30.2,,
,00:00:45,85,27.3,02:12,,1363,,431.70,30.1,,
,00:00:46,86,27.8,02:10,,1363,,437.40,30.1,,
,00:00:47,86,29.3,02:03,,1363,,443.40,30.1,,
,00:00:48,86,31.2,01:55,,1363,,449.90,30.2,,
,00:00:49,86,33.5,01:47,,1363,,458.20,30.1,,
,00:00:50,85,35.7,01:41,,1363,,469.00,30.1,,
,00:00:51,85,37.5,01:36,,1363,,482.40,30.1,,
,00:00:52,85,38.7,01:33,,1363,,496.30,30.1,,
,00:00:53,84,39.2,01:32,,1363,,510.40,30.1,,
,00:00:54,84,38.7,01:33,,1363,,523.70,30.2,,
,00:00:55,83,37.3,01:37,,1363,,535.30,30.0,,
,00:00:56,83,34.9,01:43,,1363,,545.40,30.1,,
,00:00:57,82,31.5,01:54,,1363,,552.90,30.1,,
,00:00:58,82,23.7,02:32,,1363,,558.00,30.1,,
,00:00:59,82,18.1,03:19,,1363,,559.90,30.2,,
,00:01:00,82,14.0,04:17,,1363,,560.60,30.2,,
,00:01:01,82,11.0,05:27,,1363,,560.60,30.1,,
,00:01:02,82,9.5,06:18,,1362,,560.60,30.2,,
,00:01:03,81,9.3,06:27,,1362,,560.60,30.1,,
,00:01:04,81,9.8,06:08,,1362,,560.60,30.1,,
,00:01:05,81,16.0,03:45,,1362,,560.60,30.2,,
,00:01:06,81,21.9,02:45,,1360,,562.40,30.1,,
,00:01:07,80,27.1,02:13,,1360,,568.50,30.2,,
,00:01:08,80,31.9,01:53,,1360,,576.60,30.1,,
,00:01:09,80,35.6,01:41,,1360,,586.60,30.2,,
,00:01:10,80,38.5,01:33,,1360,,598.10,30.2,,
,00:01:11,80,38.8,01:33,,1360,,611.00,30.2,,
,00:01:12,80,39.7,01:31,,1360,,624.90,30.2,,
,00:01:13,80,40.8,01:28,,1360,,640.80,30.3,,
,00:01:14,80,41.9,01:26,,1360,,655.10,30.1,,
,00:01:15,80,42.9,01:24,,1360,,670.10,30.1,,
,00:01:16,80,43.6,01:23,,1360,,685.10,30.1,,
,00:01:17,81,44.0,01:22,,1360,,701.10,30.2,,
,00:01:18,81,43.8,01:22,,1360,,715.10,30.2,,
,00:01:19,81,43.2,01:23,,1360,,726.90,30.2,,
,00:01:20,81,42.0,01:26,,1360,,738.70,30.3,,
,00:01:21,81,40.0,01:30,,1360,,749.30,30.1,,
,00:01:22,81,37.4,01:36,,1360,,757.00,30.2,,
,00:01:23,82,34.9,01:43,,1360,,765.20,30.2,,
,00:01:24,82,32.9,01:50,,1360,,770.40,30.2,,
,00:01:25,82,31.6,01:54,,1360,,774.80,30.1,,
,00:01:26,82,31.4,01:55,,1363,,778.10,30.1,,
,00:01:27,82,32.1,01:52,,1363,,783.80,30.2,,
,00:01:28,82,33.6,01:47,,1363,,791.30,30.1,,
,00:01:29,82,35.3,01:42,,1364,,799.30,30.1,,
,00:01:30,82,37.0,01:37,,1364,,808.70,30.2,,
,00:01:31,82,38.7,01:33,,1365,,820.40,30.1,,
,00:01:32,82,40.3,01:29,,1365,,835.10,30.1,,
,00:01:33,82,41.8,01:26,,1366,,850.10,30.2,,
,00:01:34,83,43.1,01:23,,1366,,863.70,30.1,,
,00:01:35,83,44.5,01:21,,1366,,878.10,30.1,,
,00:01:36,83,45.8,01:19,,1366,,891.80,30.2,,
,00:01:37,83,47.0,01:17,,1366,,905.60,30.3,,
,00:01:38,83,48.0,01:15,,1366,,918.60,30.1,,
,00:01:39,83,48.6,01:14,,1366,,932.70,30.1,,
,00:01:40,83,48.7,01:14,,1366,,948.50,30.0,,
,00:01:41,83,48.2,01:15,,1366,,961.50,30.1,,
,00:01:42,83,47.0,01:17,,1366,,974.70,30.1,,
,00:01:43,83,45.2,01:20,,1356,,987.60,30.1,,
,00:01:44,83,42.5,01:25,,1356,,998.70,30.1,,
,00:01:45,83,38.9,01:33,,1356,,1007.90,30.1,,
,00:01:46,84,30.5,01:58,,1356,,1014.20,30.1,,
,00:01:47,84,24.5,02:27,,1348,,1017.00,30.3,,
,00:01:48,84,20.5,02:56,,1348,,1018.80,30.1,,
,00:01:49,84,18.5,03:15,,1344,,1019.10,30.2,,
,00:01:50,84,19.0,03:10,,1344,,1022.50,30.1,,
,00:01:51,83,19.7,03:03,,1343,,1025.20,30.1,,
,00:01:52,83,27.6,02:10,,1343,,1029.00,30.3,,
,00:01:53,82,28.2,02:08,,1342,,1036.10,30.3,,
,00:01:54,82,29.6,02:01,,1342,,1042.80,30.1,,
,00:01:55,82,31.0,01:56,,1342,,1052.10,30.1,,
,00:01:56,82,32.0,01:53,,1342,,1063.00,30.1,,
,00:01:57,82,32.2,01:52,,1341,,1074.30,30.1,,
,00:01:58,81,31.6,01:54,,1341,,1085.20,30.2,,
,00:01:59,81,30.2,01:59,,1340,,1094.80,30.1,,
,00:02:00,81,28.0,02:09,,1340,,1103.40,30.1,,
,00:02:01,81,22.4,02:41,,1339,,1109.60,30.2,,
,00:02:02,80,18.4,03:16,,1339,,1112.90,30.1,,
,00:02:03,79,16.1,03:44,,1337,,1115.10,30.1,,
,00:02:04,78,16.0,03:45,,1337,,1116.80,30.1,,
,00:02:05,77,18.0,03:20,,1335,,1119.40,30.2,,
,00:02:06,76,19.4,03:05,,1335,,1123.90,30.1,,
,00:02:07,76,33.1,01:49,,1334,,1129.40,30.1,,
,00:02:08,76,41.5,01:27,,1334,,1141.00,30.1,,
,00:02:09,76,45.8,01:19,,1333,,1153.40,30.2,,
,00:02:10,77,48.3,01:15,,1333,,1167.20,30.1,,
,00:02:11,78,47.1,01:16,,1333,,1182.70,30.2,,
,00:02:12,79,44.8,01:20,,1333,,1200.50,30.1,,
,00:02:13,80,42.0,01:26,,1332,,1212.70,30.1,,
,00:02:14,82,38.7,01:33,,1332,,1223.40,30.2,,
,00:02:15,83,35.0,01:43,,1332,,1233.40,30.2,,
,00:02:16,84,32.4,01:51,,1332,,1242.10,30.0,,
,00:02:17,85,31.3,01:55,,1332,,1248.70,30.1,,
,00:02:18,85,30.9,01:57,,1332,,1254.50,30.1,,
,00:02:19,86,31.2,01:55,,1332,,1260.50,30.1,,
,00:02:20,86,32.1,01:52,,1332,,1266.80,30.1,,
,00:02:21,86,33.2,01:49,,1332,,1273.10,30.0,,
,00:02:22,86,33.9,01:46,,1332,,1283.40,30.1,,
,00:02:23,86,34.1,01:46,,1332,,1296.30,30.2,,
,00:02:24,86,33.6,01:47,,1332,,1306.60,30.1,,
,00:02:25,86,32.2,01:52,,1332,,1316.10,30.0,,
,00:02:26,85,30.0,02:00,,1332,,1324.10,30.1,,
,00:02:27,85,24.0,02:30,,1332,,1331.00,30.1,,
,00:02:28,85,18.8,03:12,,1332,,1335.00,30.1,,
,00:02:29,84,13.9,04:19,,1332,,1336.60,30.0,,
,00:02:30,83,9.6,06:14,,1332,,1336.60,30.1,,
,00:02:31,82,6.2,09:45,,1331,,1336.60,30.1,,
,00:02:32,82,5.7,10:27,,1331,,1336.60,30.1,,
,00:02:33,82,4.7,12:48,,1331,,1336.60,30.2,,
,00:02:34,83,3.9,15:25,,1331,,1336.60,30.1,,
,00:02:35,84,0.0,00:00,,1331,,1336.60,30.1,,
,00:02:36,85,0.0,00:00,,1331,,1336.60,30.1,,
,00:02:37,85,0.0,00:00,,1331,,1336.60,30.1,,
,00:02:38,86,0.0,00:00,,1331,,1336.60,30.0,,
,00:02:39,86,0.0,00:00,,1331,,1336.60,30.2,,
,00:02:40,86,0.0,00:00,,1331,,1336.60,30.1,,
,00:02:41,86,0.3,200:00,,1331,,1336.60,30.0,,
,00:02:42,86,0.4,153:51,,1331,,1336.60,30.1,,
,00:02:43,86,0.0,00:00,,1331,,1336.60,30.1,,
,00:02:44,86,0.0,00:00,,1331,,1336.60,30.1,,
,00:02:45,86,0.0,00:00,,1331,,1336.60,30.1,,
,00:02:46,87,0.0,00:00,,1331,,1336.60,30.1,,
,00:02:47,87,0.0,00:00,,1331,,1336.60,30.1,,
,00:02:48,87,0.0,00:00,,1331,,1336.60,30.0,,
,00:02:49,87,0.0,00:00,,1331,,1336.60,30.1,,
,00:02:50,87,0.0,00:00,,1331,,1336.60,30.1,,
,00:02:51,87,0.0,00:00,,1331,,1336.60,30.1,,
,00:02:52,87,0.0,00:00,,1331,,1336.60,30.2,,
,00:02:53,88,0.0,00:00,,1331,,1336.60,30.1,,
,00:02:54,88,0.0,00:00,,1331,,1336.60,30.1,,
,00:02:55,87,0.0,00:00,,1331,,1336.60,30.0,,
,00:02:56,87,0.0,00:00,,1331,,1336.60,30.1,,
,00:02:57,86,0.0,00:00,,1331,,1336.60,30.0,,
,00:02:58,85,0.0,00:00,,1331,,1336.60,30.1,,
,00:02:59,84,0.0,00:00,,1332,,1336.60,30.1,,
,00:03:00,84,0.0,00:00,,1332,,1336.60,30.0,,
,00:03:01,84,0.0,00:00,,1332,,1336.60,30.1,,
,00:03:02,83,0.0,00:00,,1332,,1336.60,30.1,,
,00:03:03,83,0.0,00:00,,1332,,1336.60,30.0,,
,00:03:04,83,0.0,00:00,,1332,,1336.60,30.1,,
,00:03:05,82,0.0,00:00,,1332,,1336.60,30.1,,
,00:03:06,81,0.0,00:00,,1332,,1336.60,30.2,,
,00:03:07,81,0.0,00:00,,1332,,1336.60,30.0,,
,00:03:08,81,0.0,00:00,,1332,,1336.60,30.1,,
,00:03:09,82,0.0,00:00,,1332,,1336.60,30.1,,
,00:03:10,82,0.0,00:00,,1332,,1336.60,30.2,,
,00:03:11,82,0.0,00:00,,1332,,1336.60,30.1,,
,00:03:12,82,0.0,00:00,,1332,,1336.60,30.2,,
,00:03:13,82,0.0,00:00,,1332,,1336.60,30.1,,
,00:03:14,82,0.0,00:00,,1332,,1336.60,30.1,,
,00:03:15,83,0.0,00:00,,1332,,1336.60,30.1,,
,00:03:16,83,0.0,00:00,,1332,,1336.60,30.3,,
,00:03:17,83,9.5,06:21,,1332,,1336.60,30.1,,
,00:03:18,83,14.1,04:16,,1332,,1336.60,30.1,,
,00:03:19,83,16.9,03:33,,1327,,1336.60,30.1,,
,00:03:20,83,19.9,03:01,,1327,,1336.60,30.1,,
,00:03:21,83,21.9,02:44,,1326,,1337.60,30.2,,
,00:03:22,83,25.2,02:23,,1326,,1345.40,30.0,,
,00:03:23,84,28.9,02:05,,1326,,1355.40,30.1,,
,00:03:24,84,32.7,01:50,,1326,,1367.20,30.1,,
,00:03:25,84,36.3,01:39,,1326,,1380.10,30.2,,
,00:03:26,84,39.5,01:31,,1326,,1394.10,30.2,,
,00:03:27,85,42.2,01:25,,1326,,1408.30,30.1,,
,00:03:28,85,44.3,01:21,,1326,,1423.70,30.1,,
,00:03:29,85,45.9,01:18,,1326,,1440.20,30.1,,
,00:03:30,85,47.0,01:17,,1326,,1456.60,30.1,,
,00:03:31,84,47.9,01:15,,1326,,1473.30,30.2,,
,00:03:32,84,48.1,01:15,,1326,,1489.80,30.1,,
,00:03:33,84,48.4,01:14,,1329,,1506.30,30.1,,
,00:03:34,84,48.8,01:14,,1329,,1523.00,30.1,,
,00:03:35,84,49.3,01:13,,1330,,1539.40,30.1,,
,00:03:36,84,49.8,01:12,,1330,,1555.40,30.1,,
,00:03:37,83,50.3,01:12,,1331,,1571.20,30.1,,
,00:03:38,83,50.7,01:11,,1331,,1587.10,30.1,,
,00:03:39,83,51.0,01:11,,1332,,1603.10,30.1,,
,00:03:40,82,51.3,01:10,,1332,,1618.80,30.0,,
,00:03:41,81,51.5,01:10,,1333,,1634.00,30.1,,
,00:03:42,80,52.1,01:09,,1333,,1649.10,30.1,,
,00:03:43,79,53.0,01:08,,1334,,1663.80,30.1,,
,00:03:44,78,53.8,01:07,,1334,,1680.10,30.1,,
,00:03:45,78,54.8,01:06,,1335,,1695.80,30.1,,
,00:03:46,77,55.9,01:04,,1335,,1711.90,29.9,,
,00:03:47,76,56.9,01:03,,1335,,1728.60,30.0,,
,00:03:48,76,57.8,01:02,,1335,,1745.30,30.0,,
,00:03:49,75,58.6,01:01,,1337,,1762.40,30.1,,
,00:03:50,75,58.9,01:01,,1337,,1779.60,30.0,,
,00:03:51,75,58.8,01:01,,1338,,1796.80,30.1,,
,00:03:52,75,58.1,01:02,,1338,,1813.60,30.1,,
,00:03:53,74,57.1,01:03,,1338,,1829.50,30.1,,
,00:03:54,74,55.4,01:05,,1338,,1844.50,30.1,,
,00:03:55,74,53.4,01:07,,1338,,1860.30,29.9,,
,00:03:56,74,51.0,01:11,,1338,,1872.90,30.1,,
,00:03:57,74,48.4,01:14,,1338,,1884.20,30.0,,
,00:03:58,74,45.7,01:19,,1338,,1894.10,30.1,,
,00:03:59,75,43.2,01:23,,1337,,1902.20,30.0,,
,00:04:00,75,40.7,01:28,,1337,,1909.90,30.0,,
,00:04:01,75,38.5,01:33,,1335,,1917.30,30.1,,
,00:04:02,75,36.3,01:39,,1335,,1923.90,30.1,,
